_id,genres,movie,directors,stars,year,runtime,Up_System,index
3226,"Action, Adventure, Comedy, Science Fiction, Western",Wild Wild West ,Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek, M. Emmet Walsh",1999.0,106.0,CM,58
3233,"Horror, Sci-Fi",I Was a Teenage Frankenstein,Herbert L. Strock,"Whit Bissell, Phyllis Coates, Robert Burton, Gary Conway",1957.0,74.0,CM,59
2495,"Horror, Science Fiction",I Was a Teenage Frankenstein ,Herbert L. Strock,"Whit Bissell, Phyllis Coates, Robert Burton, Gary Conway, George Lynn",1957.0,74.0,CM,59
2035,"Animation, Action, Sci-Fi",Ghost in the Shell: The New Movie,"Kazuchika Kise, Kazuya Nomura","Maaya Sakamoto, Ken'ichir Matsuda, Ikkyu Juku, Kazuya Nakai",2015.0,100.0,CM,60
1570,"Science Fiction, Animation",Ghost in the Shell: The New Movie ,"Nomura Kazuya, Kazuchika Kise","Maaya Sakamoto, Ken'ichir Matsuda, Kazuya Nakai, Ikkyuu Juku, Kenji Nojima",2015.0,100.0,CM,60
3159,"Action, Science Fiction, Thriller, Adventure, Horror, Fantasy",Beowulf ,Graham Baker,"Christopher Lambert, Rhona Mitra, Oliver Cotton, Gtz Otto, Vincent Hammond",1999.0,95.0,CM,61
702,"Action, Adventure, Fantasy",Beowulf,Graham Baker,"Christopher Lambert, Rhona Mitra, Oliver Cotton, Gtz Otto",1999.0,95.0,CM,61
4183,"Action, Sci-Fi",Choke Canyon,Charles Bail,"Stephen Collins, Janet Julian, Bo Svenson, Lance Henriksen",1986.0,94.0,CM,62
3231,"Action, Science Fiction",Choke Canyon ,Charles Bail,"Stephen Collins, Bo Svenson, Janet Julian, Lance Henriksen, Nicholas Pryor",1986.0,94.0,CM,62
4434,"Mystery, Sci-Fi, Thriller",Assumption of Risk,Mark Kochanowicz,"Brian Anthony Wilson, Dan McGlaughlin, Frankie Faison, Patricia Mizen",2014.0,97.0,CM,63
193,"Thriller, Mystery, Science Fiction",Assumption of Risk ,Mark Kochanowicz,,2014.0,97.0,CM,63
1460,"Drama, Science Fiction, Animation",Neon Genesis Evangelion: The End of Evangelion ,"Hideaki Anno, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki",1997.0,87.0,CM,64
544,"Animation, Action, Drama",Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Yko Miyamura, Kotono Mitsuishi",1997.0,90.0,CM,64
4171,"Horror, Science Fiction, Action",Underworld ,George Pavlou,"Denholm Elliott, Steven Berkoff, Nicola Cowper, Larry Lamb, Irina Brook",1985.0,103.0,CM,65
1836,"Action, Horror, Sci-Fi",Underworld,George Pavlou,"Denholm Elliott, Steven Berkoff, Larry Lamb, Nicola Cowper",1985.0,103.0,CM,65
4828,"Sci-Fi, Thriller",Menno's Mind,Jon Kroll,"Billy Campbell, Stephanie Romanov, Corbin Bernsen, Michael Dorn",1997.0,95.0,CM,66
1402,"Thriller, Science Fiction",Menno's Mind ,Jon Kroll,"Billy Campbell, Corbin Bernsen, Michael Dorn, Robert Picardo, Stephanie Romanov",1997.0,95.0,CM,66
3497,"Science Fiction, Comedy",Dickshark ,Bill Zebub,"Erin Brown, Kayla Browne, Rachel Crow, Greg Fuller, John Giancaspro",2016.0,149.0,CM,67
1864,"Comedy, Sci-Fi",Dickshark,Bill Zebub,"Kayla Browne, John Giancaspro, Rachel Crow, Greg Fuller",2016.0,200.0,CM,67
2531,"Science Fiction, Horror",They Came from Beyond Space ,Freddie Francis,"Robert Hutton, Jennifer Jayne, Bernard Kay, Zia Mohyeddin, Geoffrey Wallace",1967.0,85.0,CM,68
2775,"Adventure, Sci-Fi",They Came from Beyond Space,Freddie Francis,"Robert Hutton, Jennifer Jayne, Zia Mohyeddin, Bernard Kay",1967.0,85.0,CM,68
1553,"Horror, Sci-Fi, Thriller",The Curse of Frankenstein,Terence Fisher,"Peter Cushing, Hazel Court, Robert Urquhart, Christopher Lee",1957.0,82.0,CM,69
4801,"Horror, Science Fiction",The Curse of Frankenstein ,Terence Fisher,"Peter Cushing, Hazel Court, Robert Urquhart, Christopher Lee, Melvyn Hayes",1957.0,82.0,CM,69
3019,"Action, Comedy, Sci-Fi",Roller Blade,Donald G. Jackson,"Suzanne Solari, Jeff Hutchinson, Shaun Michelle, Katina Garner",1986.0,88.0,CM,70
3390,"Action, Science Fiction",Roller Blade ,Donald G. Jackson,"Suzanne Solari, Jeff Hutchinson, Shaun Michelle, Katina Garner, Sam Mann",1986.0,88.0,CM,70
4183,"Science Fiction, Adventure, Action",The Golden Bat ,Hajime Sato,"Sonny Chiba, Wataru Yamagawa, Hisako Tsukuba, Emily Takami, Osamu Kobayashi",1966.0,73.0,CM,71
4846,"Adventure, Action, Sci-Fi",The Golden Bat,Hajime Sat,"Shin'ichi Chiba, Osamu Kobayashi, Wataru Yamagawa, Hisako Tsukuba",1966.0,73.0,CM,71
4655,"Documentary, Biography, Mystery",Love and Saucers,Brad Abrahams,David Huggins,2017.0,67.0,CM,72
2157,"Documentary, Mystery, Romance, Science Fiction",Love & Saucers ,Brad Abrahams,David Huggins,2017.0,67.0,CM,72
4788,"Action, Adventure, Science Fiction",Green Lantern Corps ,,,2020.0,,CM,73
3980,"Action, Horror, Sci-Fi",The Epidemic,Nigel Hartwell,"Eric Roberts, Chris Owen, Kurt Angle, Larry Zerner",,95.0,CM,73
1758,Science Fiction,Hover ,Matt Osterman,"Cleopatra Coleman, Shane Coffey, Craig muMs Grant, Fabianne Therese, Rhoda Griffis",2018.0,86.0,CM,74
1661,Sci-Fi,Hover,Matt Osterman,"Cleopatra Coleman, Shane Coffey, Craig muMs Grant, Fabianne Therese",2018.0,86.0,CM,74
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,75
1868,"Romance, Sci-Fi",Behind the Curtain of Night,Dalibor Stach,"Brendan Fraser, Dawn Olivieri, Marcia Cross, Petra Buckova",,,CM,75
2050,Science Fiction,Assignment: Outer Space ,Antonio Margheriti,"Rik Van Nutter, Gabriella Farinon, David Montresor, Archie Savage, Alain Dijon",1960.0,73.0,CM,76
3227,Sci-Fi,Assignment: Outer Space,Antonio Margheriti,"Rik Van Nutter, Gabriella Farinon, David Montresor, Archie Savage",1960.0,73.0,CM,76
1789,"Action, Sci-Fi",Kill Order,James Mark,"Chris Mark, Jessica Clement, Denis Akiyama, Daniel Park",2017.0,77.0,CM,77
4975,"Science Fiction, Action",Kill Order ,James Mark,"Chris Mark, Denis Akiyama, Jonny Caines, Scott Cavalheiro, Alain Moussi",2017.0,,CM,77
4340,"Action, Science Fiction",Droid Gunner ,Fred Olen Ray,"Marc Singer, Matthias Hues, Rochelle Swanson, Robin Clarke, Kin Shriner",1995.0,90.0,CM,78
2577,"Action, Sci-Fi",Droid Gunner,Fred Olen Ray,"Marc Singer, Matthias Hues, Rochelle Swanson, Robin Clarke",1995.0,90.0,CM,78
4805,Sci-Fi,13 Days to Midnight,,,,,CM,79
715,"Animation, Comedy, Science Fiction, Family, TV Movie",From the Diaries of Ijon Tichy: A Voyage to Interopia ,Gennady Tishchenko,,1985.0,10.0,CM,79
2186,"Action, Animation, Family, Science Fiction",Spiderman: The Ultimate Villain Showdown ,,"Christopher Daniel Barnes, Sara Ballantine, Efrem Zimbalist Jr., Neil Ross, Billy 'Pop' Atmore",2002.0,79.0,CM,80
3259,"Action, Crime, Sci-Fi",Knight Rider,,,,,CM,80
2211,"Horror, Sci-Fi",The Creeping Flesh,Freddie Francis,"Christopher Lee, Peter Cushing, Lorna Heilbron, George Benson",1973.0,92.0,CM,81
4904,"Horror, Science Fiction",The Creeping Flesh ,Freddie Francis,"Christopher Lee, Peter Cushing, Lorna Heilbron, George Benson, Kenneth J. Warren",1973.0,94.0,CM,81
