movie,directors,stars,year,runtime,genres
Web of Spider-Man,Cole Tatham,"Gerald Maliqi, Brandon Q W McConnell, Ebony-Rae Michaelson, Lee Craven",,,"Action, Sci-Fi"
Black Holes,Pappi Corsicato,"Iaia Forte, Vincenzo Peluso, Marinella Anaclerio, Manuela Arcuri",1995,97 min,"Comedy, Drama, Romance"
Dragonfight,Warren A. Stevens,"Robert Z'Dar, Paul Coufos, Michael Paré, James Hong",1990,83 min,"Fantasy, Sci-Fi"
Battle Royale,,,,,"Action, Sci-Fi, Thriller"
WarGames,Dean Israelite,,,,"Drama, Sci-Fi, Thriller"
The Human Preservation Project,"Dante Ariola, Alex Lieu, Wrye Martin","Terry O'Quinn, Summer Glau",2011,,"Mystery, Sci-Fi"
The Entire History of You,,,,,Sci-Fi
Teenage Hooker Becomes a Killing Machine,Gee-woong Nam,"Dae-tong Kim, So-yun Lee",2000,60 min,"Crime, Drama, Horror"
The Colossus of New York,Eugène Lourié,"John Baragrey, Mala Powers, Otto Kruger, Robert Hutton",1958,70 min,"Horror, Sci-Fi"
The Lazarus Papers,Jeremiah Hundley,"Danny Trejo, Gary Daniels, Krystal Vee, John Edward Lee",2010,90 min,"Action, Drama, Sci-Fi"
.com for Murder,Nico Mastorakis,"Nastassja Kinski, Jeffery Dean, Nicollette Sheridan, Roger Daltrey",2002,96 min,"Horror, Sci-Fi, Thriller"
Singularity,Roland Emmerich,,,,Sci-Fi
Time Perspectives,Ciro Sorrentino,"Sam Gittins, Mino Sferra, Ellie Poussot, Eliana Manvati",2019,83 min,"Adventure, Sci-Fi"
Gamera vs. Viras,Noriaki Yuasa,"Kôjirô Hongô, Tôru Takatsuka, Carl Craig, Michiko Yaegaki",1968,75 min,"Action, Family, Sci-Fi"
The Oatmeal Man,Sean Gordon,"Krisondra Daigneault, Sean Gordon, Moira Dennis, Nicole Kunz",2014,81 min,"Comedy, Horror, Sci-Fi"
Moonbase,Paolo Mazzucato,"Scott Plank, Jocelyn Seagrave, Robert O'Reilly, Kurt Fuller",1997,89 min,"Action, Sci-Fi"
Shepherd,Peter Hayman,"C. Thomas Howell, Roddy Piper, David Carradine, Heidi von Palleske",1998,86 min,"Action, Sci-Fi"
Nuit noire,Olivier Smolders,"Fabrice Rodriguez, Yves-Marie Gnahoua, Philippe Corbisier, Iris De Busschere",2005,90 min,"Drama, Mystery, Sci-Fi"
Octopus 2: River of Fear,Yossi Wein,"Michael Reilly Burke, Meredith Morton, Fredric Lehne, John Thaddeus",2001,91 min,"Action, Adventure, Horror"
Awaken,Daric Loo,"Corey Sevier, Jordan Ladd, Ryan Alosio, Renee Dorian",2012,95 min,"Drama, Romance, Sci-Fi"
Appuchi Gramam,Vi Anand,"'Ganja' Karuppu, Raja Krishnamoorthy, G.M. Kumar, Joe Malloori",2014,168 min,Sci-Fi
Snake Club: Revenge of the Snake Woman,David Palmieri,"Veronica Ricci, Nina Kate, Arsee Hahn, Vanessa Sheri",2013,,"Action, Fantasy, Horror"
Cyber Wars,Jian Hong Kuo,"Genevieve O'Reilly, Luoyong Wang, Kay Siu Lim, David Warner",2004,103 min,"Action, Drama, Sci-Fi"
The Black Hole,,,,,Sci-Fi
The Final Executioner,Romolo Guerrieri,"William Mang, Marina Costa, Harrison Muller, Woody Strode",1984,95 min,"Action, Sci-Fi"
Pandorica,Tom Paton,"Jade Hobday, Marc Zammit, Adam Bond, Luke D'Silva",2016,82 min,Sci-Fi
Emmanuelle 2000,"Udo Blass, Fred Olen Ray","Holly Sampson, Johnny Gleeson, Jack Skeets Gleeson, Timothy Stempien",2001,,"Adventure, Fantasy, Sci-Fi"
Animal Kingdom,Dean Kavanagh,"Cillian Roche, Anja Mahler, John Curran, Jann Clavadetscher",2017,121 min,"Drama, Fantasy, Horror"
The Whip Hand,William Cameron Menzies,"Carla Balenda, Elliott Reid, Edgar Barrier, Raymond Burr",1951,82 min,"Action, Adventure, Crime"
Attack of the Killer Chickens the Movie,Genoveva Rossi,"David Naughton, Lloyd Kaufman, John Dugan, Genoveva Rossi",,,"Comedy, Horror, Sci-Fi"
Roar,Kamal Sadanah,"Aadil Chahal, Ahran Chaudhary, Pranay Dixit, Subrat Dutta",2014,123 min,"Action, Adventure, Sci-Fi"
Sons of Liberty,Drew Hall,"Tamer Hassan, Keith David, Elyse Levesque, Mark Sheppard",2013,94 min,"Action, Sci-Fi"
Terror from the Year 5000,Robert J. Gurney Jr.,"Ward Costello, Joyce Holden, Frederic Downs, John Stratton",1958,66 min,Sci-Fi
Dust,Rawson Marshall Thurber,,,,"Fantasy, Sci-Fi"
The Whispering Star,Sion Sono,"Kenji Endo, Yûto Ikeda, Megumi Kagurazaka, Kôko Mori",2015,100 min,Sci-Fi
Where the Water Runs,DuBois Ashong,"Darryl Dunning II, Bria Wade, Joseph Callari, Kenajuan Bentley",2018,,"Drama, Sci-Fi, Thriller"
Prism,"Luis Alarcon, Grant Lancaster, Lee Peterkin, Doug Roland, Corey Scott Rutledge, Robert Serrini, Nick Snow","Anthony DeVito, Jessica DiGiovanni, Kristin Dougherty, Mark Garkusha",2017,90 min,"Comedy, Drama, Romance"
Death Run,Michael J. Murphy,"Rob Bartlett, Wendy Parsons, Debbi Stevens, Eddie Kirby",1987,70 min,"Action, Horror, Sci-Fi"
Playing Beatie Bow,Donald Crombie,"Imogen Annesley, Peter Phelps, Mouche Phillips, Nikki Coghill",1986,93 min,"Family, Fantasy, Mystery"
