movie,directors,stars,year,runtime,genres
The Man With The Power ,Nicholas Sgarro,"Bob Neill, Vic Morrow, Persis Khambatta, Tim O'Connor",1977, 1h 33m,Science Fiction
State Zero ,Andrée Wallin,"Teddy Nicholas, Luke Rampersad, Charles Babalola, Nemanja Oskorus, Megan Shandley",2015, 0h 15m,Science Fiction
Warning Sign ,Hal Barwood,"Sam Waterston, Kathleen Quinlan, Yaphet Kotto, Jeffrey DeMunn, Richard Dysart",1985, 1h 39m,"Drama, Science Fiction, Thriller"
Der letzte Kosmonaut ,Nico Hofmann,"Dominique Horwitz, Barbara Auer, Günter Lamprecht, Michael Mendl, Wolf-Dietrich Sprenger",1994, 1h 7m,"Science Fiction, Comedy"
Identicals ,Simon Pummell,"Nick Blood, Nora-Jane Noone, Tony Way, Lachlan Nieboer, Michelle Asante",2015, 1h 40m,Science Fiction
The Strange Case of Dr. Jekyll and Mr. Hyde ,Aleksandr Orlov,"Innokentiy Smoktunovskiy, Aleksandr Feklistov, Alla Budnitskaya, Aleksandr Lazarev, Anatoli Adoskin",1987, 1h 32m,"Drama, Science Fiction, Horror"
The Jinn in Microdistrict ,Ogtay Mirgasimov,"Otkam Isgandarov, Rashid Mahmudzadeh, Nataliya Taghiyeva, Tofig Mirzayev, Eldaniz Rasulov",1986, 1h 15m,"Comedy, Science Fiction, Music"
Emmanuelle Through Time: Emmanuelle's Forbidden Pleasures ,Rolfe Kanefsky,Allie Haze,2012, -,"Comedy, Fantasy, Science Fiction"
Aero NT-54 ,Nikolai Petrov,"Yekaterina Korchagina-Aleksandrovskaya, Vladimir Voronov",1925, 1h 1m,Science Fiction
Azarkant ,Andrey Klimov,,2013, 0h 8m,"Horror, Animation, Science Fiction"
Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity ,Rolfe Kanefsky,"Allie Haze, Frances Reagan James, Jason Sarcinelli, Nataliya Joy Prieto, Harper Issacs",2012, 1h 24m,"Comedy, Fantasy, Science Fiction"
Hikikomori: Tokyo Plastic ,Adario Strange,"Rex Hayashi, Tsutomu Ishizuka, Kayoko Kawahara, Kayo Yoshida",2004, 1h 15m,"Science Fiction, Thriller"
The Holiday Spirit ,Adam Reid,,2014, 0h 1m,"Family, Science Fiction"
Mantis ,Grzegorz Jonkajtys,,2003, 0h 6m,"Science Fiction, Animation"
A Puppy from the Constellation of the Dog ,Eduard Gavrilov,"Boris Shuvalov, Evgeniya Dobrovolskaya, Valentin Smirnitskiy, Spartak Mishulin, Lyubov Polishchuk",1991, 1h 12m,Science Fiction
Predators ,Nimród Antal,"Topher Grace, Alice Braga, Laurence Fishburne, Adrien Brody, Danny Trejo",2010, 1h 47m,"Action, Science Fiction, Adventure, Thriller"
