genres,movie,directors,link,stars,year,runtime
427,The Fountain,Darren Aronofsky,,"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn",2006,96 min
428,Alien: Resurrection,Jean-Pierre Jeunet,,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",1997,109 min
360,Transformers: Dark of the Moon,Michael Bay,,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",2011,154 min
361,Brazil,Terry Gilliam,,"Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond",1985,132 min
362,Melancholia,Lars von Trier,,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård",2011,135 min
363,Morgan,Luke Scott,,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",2016,92 min
364,Sky High,Mike Mitchell,,"Kurt Russell, Kelly Preston, Michael Angarano, Danielle Panabaker",2005,100 min
365,Super 8,J.J. Abrams,,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",2011,112 min
366,G-Force,Hoyt Yeatman,,"Will Arnett, Penélope Cruz, Zach Galifianakis, Bill Nighy",2009,88 min
367,Dawn of the Planet of the Apes,Matt Reeves,,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",2014,130 min
368,Teen Titans Go! To the Movies,"Aaron Horvath, Peter Rida Michail",,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong",2018,84 min
112,Jurassic World,Colin Trevorrow,,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer",2015,124 min
113,Shaun the Sheep Movie: Farmageddon,"Will Becher, Richard Phelan",,"Justin Fletcher, Kate Harbour, John Sparkes",2019,
114,Life,Daniel Espinosa,,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada",2017,104 min
115,Blade Runner,Ridley Scott,,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",1982,117 min
116,Hulk,Ang Lee,,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",2003,138 min
117,Ex Machina,Alex Garland,,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno",2014,108 min
118,Rogue One: A Star Wars Story,Gareth Edwards,,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",2016,133 min
429,Tau,Federico D'Alessandro,,"Maika Monroe, Ed Skrein, Gary Oldman, Fiston Barek",2018,97 min
430,Flashout,Richard Lerner,,"Allison Dunbar, Maya Stojan, Lorynn York, Blythe Auffarth",2019,90 min
431,Spy Kids 2: Island of Lost Dreams,Robert Rodriguez,,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",2002,100 min
432,Never Let Me Go,Mark Romanek,,"Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small",2010,103 min
433,Pixels,Chris Columbus,,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",2015,105 min
434,The Postman,Kevin Costner,,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams",1997,177 min
435,Dreamcatcher,Lawrence Kasdan,,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis",2003,134 min
436,Knowing,Alex Proyas,,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson",2009,121 min
369,The Space Between Us,Peter Chelsom,,"Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson",2017,120 min
370,I Origins,Mike Cahill,,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling",2014,106 min
371,The Endless,"Justin Benson, Aaron Moorhead",,"Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington",2017,111 min
372,Jurassic Park III,Joe Johnston,,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola",2001,92 min
373,Lifeforce,Tobe Hooper,,"Steve Railsback, Mathilda May, Peter Firth, Frank Finlay",1985,101 min
374,1984,Michael Radford,,"John Hurt, Richard Burton, Suzanna Hamilton, Cyril Cusack",1984,113 min
